"호선","역명","엘리베이터(E/V)","에스컬레이터(E/S)","휠체어리프트(W/L)","수평자동보도(M/W)"
"5(연)호선","강일","8","16","0","0"
"5(연)호선","미사","4","22","0","0"
"5(연)호선","하남풍산","5","24","0","0"
"5(연)호선","하남시청","4","28","0","0"
"5(연)호선","하남검단산","4","20","0","0"
"5호선","둔촌동","3","3","0","0"
"5호선","올림픽공원","3","4","0","0"
"5호선","방이","4","2","0","0"
"5호선","오금(5)","5","7","0","0"
"5호선","개롱","3","2","0","0"
"5호선","거여","3","3","0","0"
"5호선","마천","3","10","0","0"
"6호선","역촌","2","6","0","0"
"6호선","불광(6)","3","12","2","0"
"6호선","독바위","2","8","0","0"
"6호선","연신내(6)","2","6","0","0"
"6호선","구산","2","4","0","0"
"6호선","응암","2","4","0","0"
"6호선","새절","3","4","0","0"
"6호선","증산","3","6","0","0"
"6호선","디지털미디어시티(6)","3","8","2","0"
"6호선","월드컵경기장","3","12","0","0"
"6호선","마포구청","4","12","0","0"
"6호선","망원","2","2","0","0"
"6호선","합정(6)","3","12","0","0"
"6호선","상수","3","10","0","0"
"6호선","광흥창","3","9","0","0"
"6호선","대흥","3","6","1","0"
"6호선","공덕(6)","5","6","0","0"
"6호선","효창공원앞(6)","2","6","0","0"
"6호선","삼각지(6)","5","4","0","8"
"6호선","녹사평","3","13","0","0"
"6호선","이태원","2","4","0","0"
"6호선","한강진","3","4","0","0"
"6호선","버티고개","5","4","0","0"
"6호선","약수(6)","4","11","0","0"
"6호선","청구(6)","5","10","0","0"
"6호선","신당(6)","1","14","5","2"
"6호선","동묘앞(6)","2","12","2","0"
"6호선","창신","3","3","0","0"
"6호선","보문(6)","1","2","0","0"
"6호선","안암","3","6","0","0"
"6호선","고려대","4","12","0","0"
"6호선","월곡","3","12","1","0"
"6호선","상월곡","3","6","2","0"
"6호선","돌곶이","3","4","0","0"
"6호선","석계(6)","4","14","2","2"
"6호선","태릉입구(6)","4","16","0","0"
"6호선","화랑대","5","4","0","0"
"6호선","봉화산","4","4","0","0"
"6호선","신내","1","2","0","0"
"7호선","장암","2","0","0","0"
"7호선","도봉산","5","0","0","0"
"7호선","수락산","3","7","0","0"
"7호선","마들","4","8","1","0"
"7호선","노원(7)","4","15","0","0"
"7호선","중계","3","10","0","0"
"7호선","하계","3","6","0","0"
"7호선","공릉","3","8","0","0"
"7호선","태릉입구(7)","2","8","0","0"
"7호선","먹골","3","6","0","0"
"7호선","중화","3","6","0","0"
"7호선","상봉(7)","5","6","0","0"
"7호선","면목","3","6","0","0"
"7호선","사가정","3","10","0","0"
"7호선","용마산","3","8","0","0"
"7호선","중곡","3","4","0","0"
"7호선","군자(7)","1","6","0","0"
"7호선","어린이대공원","4","6","0","0"
"7호선","건대입구(7)","2","11","3","0"
"7호선","자양","3","4","0","0"
"7호선","청담","4","16","2","0"
"7호선","강남구청(7)","2","7","0","0"
"7호선","학동","3","10","0","0"
"7호선","논현","3","19","0","0"
"7호선","반포","4","6","1","0"
"7호선","고속터미널(7)","2","21","4","0"
"7호선","내방","5","10","0","0"
"7호선","이수(7)","3","23","2","2"
"7호선","남성","4","14","0","0"
"7호선","숭실대입구","4","12","0","0"
"7호선","상도","3","11","0","0"
"7호선","장승배기","3","14","0","0"
"7호선","신대방삼거리","4","12","0","0"
"7호선","보라매","2","4","0","0"
"7호선","신풍","4","4","0","0"
"7호선","대림(7)","3","13","1","0"
"7호선","남구로","3","12","11","0"
"7호선","가산디지털단지(7)","4","16","3","0"
"7호선","철산","4","6","0","0"
"7호선","광명사거리","3","2","0","0"
"7호선","천왕","4","6","0","0"
"7호선","온수(7)","3","16","1","2"
"8(연)호선","암사역사공원","4","12","0","0"
"8호선","암사","3","4","0","0"
"8호선","천호(8)","2","0","0","0"
"8호선","강동구청","3","5","0","0"
"8호선","몽촌토성","4","8","0","0"
"8호선","잠실(8)","3","5","0","0"
"8호선","석촌","3","0","0","0"
"8호선","송파","4","4","0","0"
"8호선","가락시장(8)","6","12","0","0"
"8호선","문정","4","8","0","0"
"8호선","장지","4","8","0","0"
"8호선","복정(8)","2","5","1","0"
"8호선","남위례","3","7","0","0"
"8호선","산성","4","13","0","0"
"8호선","남한산성입구","2","4","0","0"
"8호선","단대오거리","3","6","0","0"
"8호선","신흥","2","0","0","0"
"8호선","수진","3","0","0","0"
"8호선","모란(8)","3","2","0","0"
