"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260801","3호선","압구정","23605","25076","20260804",""
"20260801","3호선","신사","19499","20433","20260804",""
"20260801","3호선","잠원","5012","4868","20260804",""
"20260801","3호선","고속터미널","60457","58192","20260804",""
"20260801","3호선","교대(법원.검찰청)","8902","4448","20260804",""
"20260801","3호선","남부터미널(예술의전당)","20202","19563","20260804",""
"20260801","3호선","양재(서초구청)","18344","19159","20260804",""
"20260801","3호선","매봉","6639","6417","20260804",""
"20260801","3호선","도곡","3356","3132","20260804",""
"20260801","3호선","대치","11107","9421","20260804",""
"20260801","3호선","학여울","2622","2704","20260804",""
"20260801","3호선","대청","6491","5929","20260804",""
"20260801","3호선","일원","5362","5391","20260804",""
"20260801","3호선","수서","13999","13893","20260804",""
"20260801","3호선","가락시장","5627","5341","20260804",""
"20260801","3호선","경찰병원","4392","4249","20260804",""
"20260801","3호선","오금","3990","3826","20260804",""
"20260801","4호선","불암산","8012","7419","20260804",""
"20260801","4호선","상계","14546","13197","20260804",""
"20260801","4호선","노원","17635","20053","20260804",""
"20260801","4호선","창동","18723","19605","20260804",""
"20260801","4호선","쌍문","21763","19257","20260804",""
"20260801","4호선","수유(강북구청)","26865","25983","20260804",""
"20260801","4호선","미아(서울사이버대학)","11723","10662","20260804",""
"20260801","4호선","미아사거리","20836","20000","20260804",""
"20260801","4호선","길음","14681","13783","20260804",""
"20260801","4호선","성신여대입구(돈암)","19111","18666","20260804",""
"20260801","4호선","한성대입구(삼선교)","10990","10603","20260804",""
"20260801","4호선","혜화","35458","36737","20260804",""
"20260801","4호선","동대문","16654","17240","20260804",""
"20260801","4호선","동대문역사문화공원(DDP)","19893","16911","20260804",""
"20260801","4호선","충무로","17527","18755","20260804",""
"20260801","4호선","명동","35427","37986","20260804",""
"20260801","4호선","회현(남대문시장)","22600","24473","20260804",""
"20260801","4호선","서울역","7419","17488","20260804",""
"20260801","4호선","숙대입구(갈월)","10281","10631","20260804",""
"20260801","4호선","삼각지(전쟁기념관)","6177","8409","20260804",""
"20260801","4호선","신용산","20367","23448","20260804",""
"20260801","4호선","이촌(국립중앙박물관)","15657","15298","20260804",""
"20260801","4호선","동작(현충원)","1435","1517","20260804",""
"20260801","4호선","총신대입구(이수)","14683","15590","20260804",""
"20260801","4호선","사당","21624","19283","20260804",""
"20260801","4호선","남태령","983","722","20260804",""
"20260801","5호선","방화","5190","5055","20260804",""
"20260801","5호선","개화산","4161","3934","20260804",""
"20260801","5호선","김포공항","14247","8861","20260804",""
"20260801","5호선","송정","4964","4811","20260804",""
"20260801","5호선","마곡","11382","11116","20260804",""
"20260801","5호선","발산","14879","16114","20260804",""
"20260801","5호선","우장산","10678","10543","20260804",""
"20260801","5호선","화곡","20553","18642","20260804",""
"20260801","5호선","까치산","20528","19136","20260804",""
"20260801","5호선","신정(은행정)","9415","8133","20260804",""
"20260801","5호선","목동","10757","10695","20260804",""
"20260801","5호선","오목교(목동운동장앞)","16803","16580","20260804",""
"20260801","5호선","양평","4346","4120","20260804",""
"20260801","5호선","영등포구청","2715","2511","20260804",""
"20260801","5호선","영등포시장","7812","7599","20260804",""
"20260801","5호선","신길","3574","3407","20260804",""
"20260801","5호선","여의도","13392","15213","20260804",""
"20260801","5호선","여의나루","13249","18657","20260804",""
"20260801","5호선","마포","8151","8187","20260804",""
"20260801","5호선","공덕","7676","7833","20260804",""
"20260801","5호선","애오개","3909","3727","20260804",""
"20260801","5호선","충정로(경기대입구)","2020","1964","20260804",""
"20260801","5호선","서대문","7301","7030","20260804",""
"20260801","5호선","광화문(세종문화회관)","19359","20125","20260804",""
"20260801","5호선","종로3가","13604","14625","20260804",""
"20260801","5호선","을지로4가","4002","4174","20260804",""
"20260801","5호선","동대문역사문화공원(DDP)","1579","1879","20260804",""
"20260801","5호선","청구","2207","2228","20260804",""
"20260801","5호선","신금호","4199","4318","20260804",""
"20260801","5호선","행당","5512","4738","20260804",""
"20260801","5호선","왕십리(성동구청)","3646","4684","20260804",""
"20260801","5호선","마장","4123","3822","20260804",""
"20260801","5호선","답십리","10322","9009","20260804",""
"20260801","5호선","장한평","13343","12724","20260804",""
"20260801","5호선","군자(능동)","9732","11130","20260804",""
"20260801","5호선","아차산(어린이대공원후문)","11040","10903","20260804",""
"20260801","5호선","광나루(장신대)","8095","7691","20260804",""
"20260801","5호선","천호(풍납토성)","19236","18035","20260804",""
"20260801","5호선","강동","12749","12279","20260804",""
"20260801","5호선","굽은다리(강동구민회관앞)","8261","7856","20260804",""
"20260801","5호선","명일","5492","5328","20260804",""
"20260801","5호선","고덕","6765","6744","20260804",""
"20260801","5호선","상일동","9457","9156","20260804",""
"20260801","5호선","둔촌동","9387","9281","20260804",""
"20260801","5호선","올림픽공원(한국체대)","7064","7393","20260804",""
"20260801","5호선","방이","5890","5617","20260804",""
"20260801","5호선","오금","2535","2312","20260804",""
"20260801","5호선","개롱","4184","4303","20260804",""
"20260801","5호선","거여","6325","6071","20260804",""
"20260801","5호선","마천","4548","4427","20260804",""
"20260801","5호선","강일","4124","3648","20260804",""
"20260801","5호선","미사","13823","13917","20260804",""
"20260801","5호선","하남풍산","3245","3213","20260804",""
"20260801","5호선","하남시청(덕풍·신장)","6480","5987","20260804",""
"20260801","5호선","하남검단산","5826","5700","20260804",""
"20260801","6호선","응암","12896","12763","20260804",""
"20260801","6호선","역촌","3174","3444","20260804",""
"20260801","6호선","불광","4648","3814","20260804",""
"20260801","6호선","독바위","1994","2077","20260804",""
"20260801","6호선","연신내","6","0","20260804",""
"20260801","6호선","구산","5988","4677","20260804",""
"20260801","6호선","새절(신사)","8718","8096","20260804",""
"20260801","6호선","증산(명지대앞)","6860","6566","20260804",""
"20260801","6호선","디지털미디어시티","7815","7856","20260804",""
"20260801","6호선","월드컵경기장(성산)","3885","3922","20260804",""
"20260801","6호선","마포구청","9827","8917","20260804",""
"20260801","6호선","망원","14550","15703","20260804",""
"20260801","6호선","합정","12258","12455","20260804",""
"20260801","6호선","상수","9995","11485","20260804",""
"20260801","6호선","광흥창(서강)","5568","5012","20260804",""
"20260801","6호선","대흥(서강대앞)","6339","6331","20260804",""
"20260801","6호선","공덕","11501","10933","20260804",""
"20260801","6호선","효창공원앞","5216","4488","20260804",""
"20260801","6호선","삼각지(전쟁기념관)","6497","5726","20260804",""
"20260801","6호선","녹사평(용산구청)","4427","4958","20260804",""
"20260801","6호선","이태원","12323","16265","20260804",""
"20260801","6호선","한강진","7342","9762","20260804",""
"20260801","6호선","버티고개","1526","1427","20260804",""
"20260801","6호선","약수","2564","2830","20260804",""
"20260801","6호선","청구","2614","2375","20260804",""
"20260801","6호선","신당","7345","6798","20260804",""
"20260801","6호선","동묘앞","11646","11538","20260804",""
"20260801","6호선","창신","2196","1712","20260804",""
"20260801","6호선","보문","5652","5172","20260804",""
"20260801","6호선","안암(고대병원앞)","8736","7089","20260804",""
"20260801","6호선","고려대(종암)","5417","5133","20260804",""
"20260801","6호선","월곡(동덕여대)","7138","6658","20260804",""
"20260801","6호선","상월곡(한국과학기술연구원)","4205","3659","20260804",""
"20260801","6호선","돌곶이","7763","7054","20260804",""
"20260801","6호선","석계","6781","6559","20260804",""
"20260801","6호선","태릉입구","4383","4595","20260804",""
"20260801","6호선","화랑대(서울여대입구)","6615","5595","20260804",""
"20260801","6호선","봉화산(서울의료원)","5017","4786","20260804",""
"20260801","6호선","신내","1","0","20260804",""
"20260801","7호선","장암","2178","1584","20260804",""
"20260801","7호선","도봉산","6068","8252","20260804",""
"20260801","7호선","수락산","11308","11038","20260804",""
"20260801","7호선","마들","9595","8951","20260804",""
"20260801","7호선","노원","16864","17465","20260804",""
"20260801","7호선","중계","9533","8682","20260804",""
"20260801","7호선","하계","11746","10793","20260804",""
"20260801","7호선","공릉(서울과학기술대)","8773","8413","20260804",""
"20260801","7호선","태릉입구","6556","5992","20260804",""
"20260801","7호선","먹골","8185","7820","20260804",""
"20260801","7호선","중화","7757","7549","20260804",""
"20260801","7호선","상봉","14977","14340","20260804",""
"20260801","7호선","면목","10546","9979","20260804",""
"20260801","7호선","사가정","11747","11400","20260804",""
"20260801","7호선","용마산(용마폭포공원)","4117","4048","20260804",""
"20260801","7호선","중곡","7156","6634","20260804",""
"20260801","7호선","군자(능동)","12371","9412","20260804",""
"20260801","7호선","어린이대공원(세종대)","9916","9158","20260804",""
"20260801","7호선","건대입구","12452","12018","20260804",""
"20260801","7호선","자양(뚝섬한강공원)","9800","9506","20260804",""
"20260801","7호선","청담","10186","10888","20260804",""
"20260801","7호선","강남구청","9364","10645","20260804",""
"20260801","7호선","학동","10235","10564","20260804",""
"20260801","7호선","논현","11247","12396","20260804",""
"20260801","7호선","반포","5290","5121","20260804",""
"20260801","7호선","고속터미널","16400","12947","20260804",""
"20260801","7호선","내방","8586","8494","20260804",""
"20260801","7호선","이수","13240","12922","20260804",""
"20260801","7호선","남성","7775","7045","20260804",""
"20260801","7호선","숭실대입구(살피재)","8374","8115","20260804",""
"20260801","7호선","상도","8347","7378","20260804",""
"20260801","7호선","장승배기","6701","6305","20260804",""
"20260801","7호선","신대방삼거리","10823","10215","20260804",""
"20260801","7호선","보라매","4621","4474","20260804",""
"20260801","7호선","신풍","8153","7676","20260804",""
